dataset,baseline,metric,mean,sample_sd,seed_ids_json,seed_values_json
unsw,ExtraTrees,default_attack_recall,0.9717594635,0.0005269501,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9719844701314745, 0.9707932586252537, 0.9716315185740757, 0.9712123885996647, 0.9720506485484868, 0.9724477190505603, 0.9713226859613519, 0.971697696991088, 0.9721609459101739, 0.9722933027441983]"
unsw,ExtraTrees,false_alerts_per_10000_benign,2451.2702702703,16.0916385966,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[2430.5405405405404, 2454.5945945945946, 2471.3513513513512, 2439.4594594594596, 2446.7567567567567, 2464.054054054054, 2432.4324324324325, 2454.864864864865, 2477.5675675675675, 2441.0810810810813]"
unsw,ExtraTrees,attack_recall_at_validation_1pct_fpr,0.8807067855,0.0042948080,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.8765331333274508, 0.8833936292243889, 0.8765331333274508, 0.8829083208329657, 0.8785626047824936, 0.8773934527486102, 0.886217241683579, 0.8886217241683579, 0.8788714373952176, 0.8780331774463955]"
unsw,ExtraTrees,attack_precision_at_validation_1pct_fpr,0.9625019123,0.0030461436,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.965590143617409, 0.9599904111230972, 0.967588759557785, 0.9606144245769831, 0.9615867497223429, 0.964919941775837, 0.9588753371363105, 0.9586169149493122, 0.9642528679994191, 0.9629835724481649]"
unsw,ExtraTrees,test_fpr_at_validation_1pct_fpr,0.0420621622,0.0037345369,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.038270270270270274, 0.04510810810810811, 0.03597297297297297, 0.04435135135135135, 0.043, 0.03908108108108108, 0.04656756756756757, 0.047, 0.03991891891891892, 0.04135135135135135]"
unsw,ExtraTrees,threshold_false_alerts_per_10000_benign,420.6216216216,37.3453687686,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[382.7027027027027, 451.0810810810811, 359.72972972972974, 443.5135135135135, 430.0, 390.81081081081084, 465.6756756756757, 470.0, 399.18918918918916, 413.5135135135135]"
unsw,BalancedRandomForest,accuracy,0.6444493028,0.0004995383,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.6440752076956712, 0.6448161103823544, 0.6446460671427877, 0.6439537482388379, 0.6443910022834378, 0.6445246076859544, 0.6452533644269542, 0.644949715784871, 0.6443059806636545, 0.6435772239226546]"
unsw,BalancedRandomForest,balanced_accuracy,0.6069596784,0.0053304809,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.6056471953154562, 0.6083230216975991, 0.6127310645303451, 0.5994803583257259, 0.6014581014078756, 0.6121724634446347, 0.6141157625283156, 0.6096282643045461, 0.6058563517114088, 0.6001842007211013]"
unsw,BalancedRandomForest,macro_precision,0.4279811217,0.0033158773,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.42383269113634353, 0.4291947066704077, 0.4321113959637106, 0.426420197940807, 0.4260682803589696, 0.42807476165344543, 0.4332991583135647, 0.43067848045247786, 0.4265747383006991, 0.4235568064388263]"
unsw,BalancedRandomForest,macro_recall,0.6069596784,0.0053304809,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.6056471953154562, 0.6083230216975991, 0.6127310645303451, 0.5994803583257259, 0.6014581014078756, 0.6121724634446347, 0.6141157625283156, 0.6096282643045461, 0.6058563517114088, 0.6001842007211013]"
