dataset,variant,metric,mean,sample_sd,seed_ids_json,seed_values_json
unsw,raw,attack_pr_auc,0.9871304066,0.0002552278,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9875216833920412, 0.9871612662550219, 0.9875054360493807, 0.9872546192159427, 0.987068111178604, 0.9870409261044617, 0.9871799339705938, 0.9870165733594523, 0.9867856691894122, 0.9867698471537962]"
unsw,raw,default_attack_recall,0.9757389923,0.0013750129,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9767934351010323, 0.9754036883437748, 0.9783155386923145, 0.9765948998499956, 0.9753816288714374, 0.9755581046501368, 0.9762198888202595, 0.975624283067149, 0.973528633195094, 0.9739698226418424]"
unsw,raw,false_alerts_per_10000_benign,2423.7027027027,17.4589155634,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[2420.0, 2419.189189189189, 2442.4324324324325, 2419.189189189189, 2416.4864864864867, 2444.324324324324, 2390.810810810811, 2450.0, 2418.9189189189187, 2415.675675675676]"
unsw,raw,attack_recall_at_validation_1pct_fpr,0.9045795465,0.0035153046,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.8990558545839583, 0.906203123621283, 0.9037765816641666, 0.9061369452042707, 0.9059163504808965, 0.905475161034148, 0.8990779140562958, 0.9107694343951293, 0.9060707667872584, 0.9033133327450807]"
unsw,raw,attack_precision_at_validation_1pct_fpr,0.9592978011,0.0052756414,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9688584605144297, 0.9577320308675075, 0.9630482816980867, 0.9590483528285587, 0.9575852259478618, 0.9582584335239874, 0.9648225741542977, 0.9495193413366451, 0.9559874316303968, 0.9581178782844708]"
unsw,raw,test_fpr_at_validation_1pct_fpr,0.0470756757,0.0065214498,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.035405405405405405, 0.049, 0.04248648648648649, 0.04740540540540541, 0.04916216216216216, 0.048324324324324326, 0.04016216216216216, 0.05932432432432432, 0.051108108108108105, 0.04837837837837838]"
unsw,raw,threshold_false_alerts_per_10000_benign,470.7567567568,65.2144981473,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[354.05405405405406, 490.0, 424.86486486486484, 474.05405405405406, 491.6216216216216, 483.2432432432432, 401.6216216216216, 593.2432432432432, 511.0810810810811, 483.7837837837838]"
unsw,raw_weight,accuracy,0.6857953165,0.0005649120,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.6858086770635962, 0.6852742554535296, 0.6857965311179128, 0.6860880338143128, 0.6849584608657631, 0.6858451149006461, 0.6853835689646796, 0.6868532283923626, 0.6854928824758296, 0.6864524121848127]"
unsw,raw_weight,balanced_accuracy,0.6432989904,0.0027008424,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.6427720430648562, 0.6441916211845263, 0.646934210210011, 0.6426428357677458, 0.6437336916338128, 0.6387374711233683, 0.64040390017401, 0.6445263349864285, 0.6416044821370029, 0.6474433137614575]"
unsw,raw_weight,macro_precision,0.5333914924,0.0025444998,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5349773934059622, 0.5343246342473773, 0.535279850259464, 0.5344205640470532, 0.5373222830446043, 0.5346536565995962, 0.5288817634049432, 0.5318557553546567, 0.5310191160287052, 0.5311799080862226]"
