dataset,class,variant,metric,mean,sample_sd,seed_ids_json,seed_values_json
nslkdd,R2L,smotenc_tomek_residual_weight,f1,0.2662926161,0.0234654433,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.300830513688096, 0.28322981366459626, 0.299537750385208, 0.24960405448210327, 0.25158428390367554, 0.26108839257628186, 0.23182837015690042, 0.266624843161857, 0.27607745159275454, 0.24252068746021643]"
nslkdd,U2R,raw,precision,0.7546320346,0.0399378120,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.8, 0.7, 0.75, 0.8, 0.75, 0.7, 0.8, 0.7857142857142857, 0.7272727272727273, 0.7333333333333333]"
nslkdd,U2R,raw,recall,0.0485000000,0.0105540935,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.04, 0.035, 0.045, 0.06, 0.06, 0.035, 0.06, 0.055, 0.04, 0.055]"
nslkdd,U2R,raw,f1,0.0909755099,0.0188382050,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.0761904761904762, 0.06666666666666667, 0.08490566037735849, 0.11162790697674418, 0.1111111111111111, 0.06666666666666667, 0.11162790697674418, 0.102803738317757, 0.07582938388625593, 0.10232558139534884]"
nslkdd,U2R,smotenc_tomek_residual_weight,precision,0.7222536180,0.0510928694,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.6470588235294118, 0.782608695652174, 0.75, 0.6666666666666666, 0.7297297297297297, 0.75, 0.7647058823529411, 0.6410256410256411, 0.75, 0.7407407407407407]"
nslkdd,U2R,smotenc_tomek_residual_weight,recall,0.1110000000,0.0174483364,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.11, 0.09, 0.09, 0.12, 0.135, 0.12, 0.13, 0.125, 0.09, 0.1]"
nslkdd,U2R,smotenc_tomek_residual_weight,f1,0.1916670917,0.0258238205,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.18803418803418803, 0.16143497757847533, 0.16071428571428573, 0.2033898305084746, 0.22784810126582278, 0.20689655172413793, 0.2222222222222222, 0.20920502092050208, 0.16071428571428573, 0.1762114537444934]"
cicids2017,BENIGN,raw,precision,0.6481204202,0.0224888647,"[42, 123, 456]","[0.6629356975962616, 0.6591824784067113, 0.6222430847108834]"
cicids2017,BENIGN,raw,recall,0.9998221995,0.0000145484,"[42, 123, 456]","[0.9998069134634415, 0.9998358764439252, 0.9998238085353903]"
cicids2017,BENIGN,raw,f1,0.7862896165,0.0166848542,"[42, 123, 456]","[0.7972462956440739, 0.7945352612974439, 0.767087292615112]"
cicids2017,BENIGN,smotenc_tomek_residual_weight,precision,0.6661562995,0.0000737733,"[42, 123, 456]","[0.6660711184299397, 0.6661980869724659, 0.6661996931163487]"
cicids2017,BENIGN,smotenc_tomek_residual_weight,recall,0.9996942797,0.0000174603,"[42, 123, 456]","[0.9996741664695575, 0.9997055430317483, 0.9997031294500413]"
cicids2017,BENIGN,smotenc_tomek_residual_weight,f1,0.7995346634,0.0000587053,"[42, 123, 456]","[0.7994668766732487, 0.7995683643499067, 0.799568749179581]"
cicids2017,ATTACK,raw,precision,0.9987080891,0.0005693279,"[42, 123, 456]","[0.998979396568221, 0.9990910184603456, 0.9980538523060517]"
cicids2017,ATTACK,raw,recall,0.2197621281,0.0783480827,"[42, 123, 456]","[0.2710237675782129, 0.25868830103522394, 0.12957431564811386]"
cicids2017,ATTACK,raw,f1,0.3555700085,0.1095633320,"[42, 123, 456]","[0.42637241769849826, 0.4109674155697052, 0.2293701923518762]"
cicids2017,ATTACK,smotenc_tomek_residual_weight,precision,0.9984453074,0.0000899285,"[42, 123, 456]","[0.9983417066909064, 0.9985032144084016, 0.99849100121456]"
cicids2017,ATTACK,smotenc_tomek_residual_weight,recall,0.2815606003,0.0002258326,"[42, 123, 456]","[0.2812998619009217, 0.28168750843650386, 0.2816944306960678]"
cicids2017,ATTACK,smotenc_tomek_residual_weight,f1,0.4392524162,0.0002835109,"[42, 123, 456]","[0.4389250726375252, 0.4394124681789591, 0.4394197076942181]"
